course_name,distance,start_point_name,last_point,course_level,course_points,start_coordinates,end_coordinates
안양천길,15.57Km,석수역,석수역,1,백골부대전적비 인근~목마공원 인근~목동종합운동장 인근~오목교 인근~오금사거리 인근~어린이교통공원 인근~구일역 인근~광명시청 인근~광명시청 인근~가산디지털단지 인근~독산역 인근~석수역 인근,"(126.90232078368835, 37.43509293822681)","(126.90232078368835, 37.43509293822681)"
영등포 봄꽃 나들길,3.84km,신도림역,신풍역,1,도림천역~신도림역~신길공원~신길동 넝쿨장미길~신풍역,"(126.891312500851, 37.508908482648)","(126.90975434386, 37.5001229935524)"
여의도공원 산책길,2.82km,국회의사당역 3번 출입구,여의도공원 광장 여의도샛강생태공원,1,여의도공원 역~ 여의도공원 광장 여의도샛강생태공원,"(126.92378855416125, 37.52259851936328)","(126.915931621256, 37.5220291606566)"
도림천길,10.56Km,보라매공원,청룡산,1,박정희 대통령 흉상 인근~영남중학교 인근~구로디지털단지역 인근~보라매공원 인근~신림역 인근~장군봉근린공원 인근~청룡산 인근,"(126.92051756183096, 37.49328307697023)","(126.945147345633, 37.4748011784324)"
호암산 나들길,3.95km,흔들바위전망대,호압사,3,시흥계곡 입구~산복약수터연못~생태통로~호암폭포~호압사,"(126.911510533536, 37.4455447405375)","(126.92551206795, 37.4524885955858)"
청룡산 나들길,5.87km,관악영어마을,청룡상 산림욕장,1,청룡산 공원~누수식 생태연못~청룡상 산림욕장,"(126.90595089402, 37.5183446426726)","(126.945147345633, 37.4748011784324)"
독산ㆍ삼성산 나들길,5.61km,버스정류장(구민문화체육센터),호압사입구 사거리,1,감로천생태공원~금천전망대~산림감시초소~호압사입구 사거리,"(126.90731703179, 37.470103120825)","(126.92509220902, 37.4519188898555)"
낙성대 산책길,1.22km,낙성대 천문대,낙성대공원,1,안국사~낙성대공원,"(126.960312594227, 37.4695741773455)","(126.960361423801, 37.471296925982)"
관음사 산책길,0.81km,관음사,상록약수터,1,관음사~상록약수터,"(126.55812368447738, 33.423740261241775)","(126.87135895918323, 37.33649769086607)"
관악산 나들길,6.99km,신우초등학교,신우초등학교,2,샘말공원~맨발공원~약수암~신우초등학교,"(126.932794702762, 37.4628690203798)","(126.932794702762, 37.4628690203798)"
